Rk,Player,Age,Team,Lg,WAR,G,PA,AB,R,H,2B,3B,HR,RBI,SB,CS,BB,SO,BA,OBP,SLG,OPS▼,OPS+,rOBA,Rbat+,TB,HBP,SH,Pos,Awards,Player-additional
25,Edgar Wesley*,29,DS,NNL,1.9,64,270,247,41,71,15,2,11,50,3,,21,,.287,.346,.498,.844,151,.399,143,123,1,1,*3/97,,wesleed01
26,Ken Williams*,30,SLB,AL,3.6,141,592,521,90,160,34,13,10,72,18,8,41,26,.307,.362,.480,.842,119,.394,120,250,4,26,*78/H,,willike01
27,Edd Roush*,27,CIN,NL,6.0,149,650,579,81,196,22,16,4,90,36,24,42,22,.339,.386,.453,.839,141,.396,147,262,3,26,*83/4,,roushed01
28,Dobie Moore,24,KCM,NNL,2.1,48,212,190,37,63,10,4,2,31,4,,13,,.332,.380,.458,.838,150,.401,146,87,2,7,64/2,,mooredo02
29,Jack Tobin*,28,SLB,AL,3.7,147,652,593,94,202,34,10,4,62,21,13,39,23,.341,.383,.452,.835,118,.393,121,268,2,18,*97,,tobinja01
30,Braggo Roth,27,WSH,AL,2.0,138,561,468,80,136,23,8,9,92,24,12,75,57,.291,.395,.432,.827,122,.392,125,202,6,12,*9H/7,,rothbr01
31,Bobby Veach*,32,DET,AL,4.3,154,672,612,92,188,39,15,11,113,11,7,36,22,.307,.353,.474,.827,120,.387,121,290,7,15,*7,,veachbo01
32,Irish Meusel,27,PHI,NL,2.9,138,563,518,75,160,27,8,14,69,17,11,32,27,.309,.349,.473,.822,132,.388,136,245,0,13,*79/H3,,meuseir01
33,Ben Taylor*,31,ABC,NNL,3.1,93,389,343,57,110,20,5,4,64,13,,31,,.321,.379,.443,.822,145,.397,142,152,1,14,*31/9,,taylobe99
34,Dave Robertson*,30,CHC,NL,2.1,134,555,500,68,150,29,11,10,75,17,23,40,44,.300,.353,.462,.815,132,.370,134,231,1,14,*7/H,,roberda01
35,Sam Rice*,30,WSH,AL,4.6,153,687,624,83,211,29,9,3,80,63,30,39,23,.338,.381,.428,.809,117,.386,119,267,4,19,*8/7,,ricesa01
36,Jack Fournier*,27,STL,NL,3.4,141,608,530,77,162,33,14,3,61,26,20,42,42,.306,.370,.438,.808,133,.378,137,232,12,24,*3/H,,fournja01
37,Hi Myers,31,BRO,NL,4.1,154,652,582,83,177,36,22,4,80,9,13,35,54,.304,.345,.462,.807,127,.370,129,269,1,33,*8/5,,myershy01
38,Ray Chapman,29,CLE,AL,4.0,111,530,435,97,132,27,8,3,49,13,9,52,38,.303,.380,.423,.803,109,.383,112,184,2,41,*6,,chapmra01
39,Chick Harper,,2TM,NNL,1.0,50,192,173,24,52,10,2,4,33,2,,12,,.301,.349,.451,.800,138,.383,134,78,1,6,9/781,,harpech01
40,Charlie Jamieson*,27,CLE,AL,1.6,108,425,370,69,118,17,7,1,40,2,9,41,26,.319,.388,.411,.799,108,.373,112,152,1,13,7H8/39,,jamiech01
41,Bingo DeMoss,30,CAG,NNL,3.1,67,283,236,65,74,14,2,0,35,11,,34,,.314,.409,.390,.799,138,.396,141,92,4,9,*4/8,,demosbi01
42,Del Pratt,32,NYY,AL,4.7,154,654,574,84,180,37,8,4,108,12,10,50,24,.314,.372,.427,.798,108,.378,110,245,3,27,*4,,prattde01
43,Ping Bodie,32,NYY,AL,1.2,129,523,471,63,139,26,12,7,77,6,14,40,30,.295,.350,.446,.796,107,.364,106,210,0,12,*8,,bodiepi01
44,Joe Dugan,23,PHA,AL,2.1,123,521,491,65,158,40,5,3,60,5,8,19,51,.322,.351,.442,.793,109,.365,107,217,3,8,564,,duganjo01
45,Casey Stengel*,29,PHI,NL,2.0,129,504,445,53,130,25,6,9,50,7,13,38,35,.292,.356,.436,.792,124,.367,127,194,6,15,*9H/87,,stengca01
46,George Carr#,25,KCM,NNL,2.6,78,340,308,49,97,15,5,4,51,18,,17,,.315,.355,.435,.790,135,.386,131,134,2,13,*3/59478,,carrge01
